"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"Polar Surface Area"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"CX Acidic pKa"	"CX Basic pKa"	"CX LogP"	"CX LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA (Lipinski)"	"HBD (Lipinski)"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Molecular Species"	"Molecular Formula"	"Smiles"
"CHEMBL373496"	"GRAMICIDIN S"	"GRAMICIDIN S"	"Protein"	"0"	"1141.47"	"35"	"185"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"BOTH"	"0"	"None"	"None"	"None"	"None"	"1140.7059"	"None"	"C60H92N12O10"	"CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O"
"CHEMBL217475"	""	""	"Small molecule"	"0"	"1297.13"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1295.3406"	"None"	"C64H59Cl2N9O17"	"NCCCCCCNC(=O)[C@@H]1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C4NC(=O)C(Cc5ccc(c(Cl)c5)Oc5cc3cc(c5O)Oc3ccc(cc3Cl)C2O)NC(=O)C(N)c2ccc(O)c(c2)Oc2cc(O)cc4c2)c2ccc(O)c(c2)-c2c(O)cc(O)cc21"
"CHEMBL292174"	""	""	"Small molecule"	"0"	"773.02"	"3"	"3"	"1.90"	"180.08"	"14"	"5"	"2"	"7"	"N"	"0.19"	"11.31"	"14.34"	"2.43"	"-1.08"	"0"	"MOL"	"-1"	"54"	"14"	"5"	"2"	"772.5085"	"BASE"	"C40H72N2O12"	"C#C[C@@]1(O)[C@H](C)O[C@@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]2C)C[C@@]1(C)OC"
"CHEMBL3989700"	"COUMERMYCIN"	"COUMAMYCIN|COUMERMYCIN"	"Small molecule"	"0"	"1110.09"	"7"	"14"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"0"	"None"	"None"	"None"	"None"	"1109.3753"	"None"	"C55H59N5O20"	"CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@@H](Oc2ccc3c(O)c(NC(=O)c4c[nH]c(C(=O)Nc5c(O)c6ccc(O[C@H]7OC(C)(C)[C@H](OC)[C@@H](OC(=O)c8ccc(C)[nH]8)[C@H]7O)c(C)c6oc5=O)c4C)c(=O)oc3c2C)OC1(C)C"
"CHEMBL3989471"	"SISOMICIN SULFATE"	"SCH 13475 SULFATE|SISOMICIN SULFATE|SISSOMICIN|Siseptin"	"Small molecule"	"0"	"1385.46"	"2"	"3"	"-3.85"	"213.72"	"12"	"8"	"2"	"6"	"N"	"0.20"	"12.55"	"9.59"	"-4.32"	"-11.46"	"0"	"MOL"	"0"	"31"	"12"	"12"	"2"	"447.2693"	"BASE"	"C38H84N10O34S5"	"CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O"
"CHEMBL414553"	""	""	"Small molecule"	"0"	"1798.71"	"4"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1796.5557"	"None"	"C94H90Cl2N10O23"	"CCCCc1ccc(CNC2C(Oc3c4cc5cc3Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C5NC(=O)C5NC(=O)C(Cc6ccc(cc6)O4)NC(=O)C(NC)c4ccc(O)c(c4)Oc4cc(O)c(Cl)c5c4)c4ccc(O)c(c4)-c4c(cc(O)c(CN5CCN(Cc6ccc(-c7ccccc7)cc6)CC5)c4O)[C@H](C(=O)O)NC3=O)OC(C(=O)O)C(O)C2O)cc1"
"CHEMBL3989814"	"MIRINCAMYCIN HYDROCHLORIDE"	"MIRINCAMYCIN HYDROCHLORIDE|U-24,729A"	"Small molecule"	"0"	"475.48"	""	""	"0.83"	"111.05"	"7"	"5"	"0"	"9"	"N"	"0.27"	"12.42"	"9.96"	"1.54"	"-0.93"	"0"	"MOL"	"0"	"28"	"7"	"5"	"0"	"438.1955"	"BASE"	"C19H36Cl2N2O5S"	"CCCCC[C@H]1CN[C@H](C(=O)N[C@@H]([C@@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)C1.Cl"
"CHEMBL2106397"	"LEXITHROMYCIN"	"LEXITHROMYCIN|WY-483 14"	"Small molecule"	"0"	"762.98"	""	""	"2.22"	"198.43"	"15"	"5"	"2"	"8"	"N"	"0.18"	"12.45"	"9.08"	"2.98"	"1.30"	"0"	"MOL"	"0"	"53"	"15"	"5"	"2"	"762.4878"	"BASE"	"C38H70N2O13"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OC)[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL2105946"	"AMBOMYCIN"	"AMBOMYCIN"	"Protein"	"0"	"395.38"	""	""	"-2.31"	"228.46"	"6"	"4"	"0"	"13"	"N"	"0.15"	"3.60"	"9.30"	"-6.65"	"-6.91"	"0"	"BOTH"	"0"	"28"	"13"	"5"	"1"	"395.1553"	"ZWITTERION"	"C15H21N7O6"	"C[C@H](N)C(=O)N[C@@H](CCC(=O)C=[N+]=[N-])C(=O)N[C@H](CCC(=O)C=[N+]=[N-])C(=O)O"
"CHEMBL3989899"	"PIRLIMYCIN HYDROCHLORIDE"	"PIRLIMYCIN HYDROCHLORIDE|U-57,930E"	"Small molecule"	"0"	"465.44"	""	""	"0.05"	"111.05"	"7"	"5"	"0"	"6"	"N"	"0.39"	"12.41"	"8.88"	"0.58"	"-0.91"	"0"	"MOL"	"0"	"26"	"7"	"5"	"0"	"410.1642"	"BASE"	"C17H34Cl2N2O6S"	"CC[C@@H]1CCN[C@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)C1.Cl.O"
"CHEMBL3989633"	"PEPLOMYCIN SULFATE"	"NK-631|PEPLEOMYCIN|PEPLOMYCIN SULFATE"	"Small molecule"	"0"	"1571.69"	""	""	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"0"	"None"	"None"	"None"	"None"	"1472.5813"	"None"	"C61H90N18O25S3"	"Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCCN[C@@H](C)c3ccccc3)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1.O=S(=O)(O)O"
"CHEMBL2104626"	"QUINDOXIN"	"ICI 8173|QUINDOXIN"	"Small molecule"	"0"	"162.15"	""	""	"0.11"	"53.88"	"2"	"0"	"0"	"0"	"Y"	"0.41"	"None"	"1.29"	"-0.90"	"-0.90"	"2"	"MOL"	"0"	"12"	"4"	"0"	"0"	"162.0429"	"NEUTRAL"	"C8H6N2O2"	"[O-][n+]1cc[n+]([O-])c2ccccc21"
"CHEMBL3989415"	"RIFAMIDE"	"RIFAMIDE|RIFAMYCIN DIETHYLAMIDE|RIFAMYCIN M-14"	"Small molecule"	"0"	"810.94"	""	""	"5.30"	"210.62"	"13"	"5"	"3"	"7"	"N"	"0.18"	"7.09"	"None"	"4.15"	"3.66"	"2"	"MOL"	"0"	"58"	"15"	"5"	"3"	"810.3939"	"NEUTRAL"	"C43H58N2O13"	"CCN(CC)C(=O)COc1cc2c(O)c3c(O)c(C)c4c(c13)C(=O)[C@@](C)(O/C=C/[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)N2)O4"
"CHEMBL440444"	""	""	"Small molecule"	"0"	"1116.11"	"3"	"3"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1115.4308"	"None"	"C50H61N13O17"	"C[C@@H](c1ccccc1)[C@@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)[C@@H]2CN=C(N)N2[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)NC(=O)[C@H]([C@H](O)[C@@H]2CN=C(N)N2)NC(=O)[C@@H](Cc2ccc3nc(-c4ccc(C(=O)O)cc4)oc3c2)NC1=O"
"CHEMBL4162951"	""	""	"Small molecule"	"0"	"429.60"	"3"	"3"	"4.53"	"70.14"	"4"	"1"	"0"	"4"	"N"	"0.23"	"4.90"	"None"	"4.30"	"1.84"	"0"	"MOL"	"-1"	"31"	"5"	"1"	"0"	"429.2879"	"ACID"	"C26H39NO4"	"CCC(C)[C@@H]1C(=O)/C(=C(/O)[C@H]2[C@@H]([C@]3(C)O[C@H]3C)C=C[C@H]3C[C@@H](C)C[C@@H](C)[C@H]32)C(=O)N1C"
"CHEMBL411363"	""	""	"Small molecule"	"0"	"1338.22"	"3"	"3"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1336.3923"	"None"	"C68H66Cl2N8O17"	"CCCCCCCCCCNC(=O)[C@@H]1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C4NC(=O)C(Cc5ccc(c(Cl)c5)Oc5cc3cc(c5O)Oc3ccc(cc3Cl)C2O)NC(=O)C(N)c2ccc(O)c(c2)Oc2cc(O)cc4c2)c2ccc(O)c(c2)-c2c(O)cc(O)cc21"
"CHEMBL1614655"	"TROSPECTOMYCIN"	"TROSPECTOMYCIN"	"Small molecule"	"0"	"374.43"	"4"	"25"	"-1.76"	"129.51"	"9"	"5"	"0"	"5"	"N"	"0.38"	"8.66"	"9.17"	"-0.79"	"-1.68"	"0"	"MOL"	"0"	"26"	"9"	"5"	"0"	"374.2053"	"BASE"	"C17H30N2O7"	"CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@H]3O[C@@H]2O1"
"CHEMBL268348"	""	""	"Small molecule"	"0"	"1210.46"	"4"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1209.2206"	"None"	"C52H51N13O10S6"	"CNC(=O)C[C@@H]1NC(=O)c2csc(n2)-c2ccc(-c3nc(C(=O)NCCCC(=O)O)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)[C@H](C(C)C)NC(=O)c2nc1sc2C"
"CHEMBL266527"	""	""	"Small molecule"	"0"	"1212.96"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1211.2355"	"None"	"C59H47Cl2N7O18"	"CNC1C(=O)NC2Cc3ccc(cc3)Oc3cc4cc(c3O)Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C4NC(=O)C(NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](C(=O)O)NC3=O"
"CHEMBL2367780"	""	""	"Unknown"	"0"	"2067.94"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"2066.6616"	"None"	"C95H110N8O44"	"COC(=O)[C@H]1NC(=O)C2NC(=O)C(NC(=O)[C@@H]3NC(=O)[C@H]4NC(=O)[C@H](NC(=O)[C@H](N)c5ccc(O)c(c5)Oc5cc4cc(O)c5C)[C@H](O)c4ccc(cc4)Oc4cc3cc(c4OC3OC(CO[C@H]4O[C@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3OC3OCC(O)C(O)C3O)Oc3ccc(cc3)[C@H]2O[C@@H]2C[C@@H](N)[C@@H](O)[C@@H](C)O2)c2ccc(O)c(c2)-c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)cc(O)cc21"
"CHEMBL2105893"	"PIRAZMONAM SODIUM"	"PIRAZMONAM SODIUM|SQ 83360"	"Small molecule"	"0"	"706.61"	""	""	"-2.93"	"316.19"	"15"	"7"	"3"	"10"	"N"	"0.07"	"2.82"	"3.53"	"-3.20"	"-6.80"	"2"	"MOL"	"0"	"46"	"22"	"8"	"3"	"684.1017"	"ACID"	"C22H23N10NaO12S2"	"CC(C)(O/N=C(\C(=O)NC1CN(C(=O)NS(=O)(=O)N2CCN(NC(=O)c3cc(=O)c(O)c[nH]3)C2=O)C1=O)c1csc(N)n1)C(=O)[O-].[Na+]"
"CHEMBL458336"	"MEDORUBICIN"	"MEDORUBICIN"	"Small molecule"	"0"	"513.50"	"1"	"2"	"-0.01"	"196.84"	"11"	"6"	"3"	"4"	"N"	"0.26"	"8.02"	"9.94"	"0.69"	"0.24"	"2"	"MOL"	"0"	"37"	"11"	"7"	"3"	"513.1635"	"BASE"	"C26H27NO10"	"C[C@@H]1O[C@@H](O[C@H]2C[C@](O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2ccccc2C4=O)C[C@H](N)[C@@H]1O"
"CHEMBL3989414"	"PENIMOCYCLINE"	"PENIMOCYCLINE"	"Small molecule"	"0"	"805.86"	""	""	"0.34"	"266.37"	"14"	"9"	"3"	"9"	"N"	"0.09"	"2.81"	"8.18"	"-4.89"	"-6.16"	"2"	"MOL"	"0"	"57"	"17"	"9"	"3"	"805.2629"	"ACID"	"C39H43N5O12S"	"CN(C)[C@@H]1C(O)=C(C(=O)NCN[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12"
"CHEMBL2108498"	"HAMYCIN"	"HAMYCIN"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL11252"	"STALLIMYCIN"	"STALLIMYCIN"	"Small molecule"	"0"	"481.52"	"87"	"195"	"0.83"	"181.06"	"8"	"6"	"1"	"10"	"N"	"0.14"	"None"	"12.55"	"-1.08"	"-3.35"	"3"	"MOL"	"0"	"35"	"13"	"7"	"2"	"481.2186"	"BASE"	"C22H27N9O4"	"Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N"
"CHEMBL387472"	""	""	"Small molecule"	"0"	"1226.46"	"9"	"11"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1225.2155"	"None"	"C52H51N13O11S6"	"CNC(=O)C[C@@H]1NC(=O)c2csc(n2)-c2ccc(-c3nc(C(=O)NCC(O)CC(=O)O)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)[C@H](C(C)C)NC(=O)c2nc1sc2C"
"CHEMBL3188576"	"DIHYDROSTREPTOMYCIN SULFATE"	"DIHYDROSTREPTOMYCIN SULFATE"	"Small molecule"	"4"	"1461.43"	"3"	"3"	"-7.95"	"334.59"	"15"	"15"	"3"	"9"	"N"	"0.09"	"11.91"	"11.20"	"-7.35"	"-12.52"	"0"	"MOL"	"0"	"40"	"19"	"17"	"3"	"583.2813"	"BASE"	"C42H88N14O36S3"	"CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O"
"CHEMBL389847"	"TOMOPENEM"	"CS-023|R-115685|R-1558|R-1L5685|RO4908463|Ro-4908463|TOMOPENEM|Tomopenem"	"Small molecule"	"0"	"537.64"	"56"	"617"	"-1.85"	"192.39"	"8"	"6"	"2"	"8"	"N"	"0.12"	"3.63"	"11.20"	"-5.46"	"-5.97"	"0"	"MOL"	"0"	"37"	"13"	"7"	"3"	"537.2370"	"ZWITTERION"	"C23H35N7O6S"	"C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3C[C@@H](C(=O)N4CC[C@H](NC(=O)CNC(=N)N)C4)N(C)C3)[C@H](C)[C@H]12"
"CHEMBL59410"	""	""	"Small molecule"	"0"	"795.09"	"3"	"3"	"2.29"	"188.87"	"15"	"6"	"3"	"9"	"N"	"0.19"	"12.22"	"9.76"	"2.78"	"-1.13"	"0"	"MOL"	"-1"	"54"	"14"	"6"	"3"	"794.4962"	"BASE"	"C39H74N2O12S"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@](O)(CSC)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL1013"	"LORACARBEF"	"LORACARBEF|LY-163892|Lorabid|Loracarbef hydrate"	"Small molecule"	"4"	"349.77"	"49"	"137"	"0.71"	"112.73"	"4"	"3"	"0"	"4"	"N"	"0.69"	"2.93"	"7.23"	"-2.40"	"-2.76"	"1"	"MOL"	"0"	"24"	"7"	"4"	"0"	"349.0829"	"ACID"	"C16H16ClN3O4"	"N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1"
"CHEMBL3989795"	"NEUTRAMYCIN"	"AE-705W|LL-705W|NEUTRAMYCIN"	"Small molecule"	"0"	"684.82"	""	""	"2.20"	"164.13"	"13"	"3"	"2"	"8"	"N"	"0.32"	"12.32"	"None"	"2.47"	"2.47"	"0"	"MOL"	"0"	"48"	"13"	"3"	"2"	"684.3721"	"NEUTRAL"	"C35H56O13"	"C=C1/C=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]2OC)CC[C@](C)(O)C(=O)/C=C/[C@@H]2O[C@H]2[C@H](CO[C@@H]2O[C@H](C)C[C@H](OC)[C@H]2O)[C@@H](C)O1"
"CHEMBL3989864"	"AZOTOMYCIN"	"AZOTOMYCIN"	"Small molecule"	"0"	"453.41"	"2"	"2"	"-2.47"	"265.76"	"7"	"5"	"0"	"16"	"N"	"0.09"	"1.96"	"9.03"	"-5.99"	"-10.53"	"0"	"MOL"	"0"	"32"	"15"	"6"	"2"	"453.1608"	"ZWITTERION"	"C17H23N7O8"	"[N-]=[N+]=CC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)C=[N+]=[N-])NC(=O)CC[C@H](N)C(=O)O)C(=O)O"
"CHEMBL2370216"	""	""	"Unknown"	"0"	"1143.94"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1142.2827"	"None"	"C53H52Cl2N8O17"	"CN[C@@H](CC(C)C)C(=O)NC1C(=O)N[C@@H](CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O)Oc2ccc(cc2Cl)C1O"
"CHEMBL384264"	""	""	"Small molecule"	"0"	"1386.91"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1385.5160"	"None"	"C72H76ClN11O16"	"CNC(=O)[C@@H]1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(CC(C)C)NC)C(O)c4ccc(c(Cl)c4)Oc4cc3cc(c4O)Oc3ccc(cc3)C2O)c2ccc(O)c(c2)-c2c1cc(O)c(CN1CCN(Cc3ccc(-c4ccccc4)cc3)CC1)c2O"
"CHEMBL216886"	""	""	"Small molecule"	"0"	"1209.48"	"4"	"5"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1208.2478"	"None"	"C51H52N16O8S6"	"CNC(=O)C[C@@H]1NC(=O)c2csc(n2)-c2ccc(-c3nc(C(=O)NCCN=C(N)N)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)[C@H](C(C)C)NC(=O)c2nc1sc2C"
"CHEMBL2108145"	"NIFUNGIN"	"18894|NIFUNGIN"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2205638"	"CHLORAMPHENICOL SULFATE SALT"	"Chloramphenicol Sulfate Salt"	"Small molecule"	"0"	"421.21"	"1"	"1"	"0.91"	"112.70"	"5"	"3"	"0"	"6"	"N"	"0.41"	"8.69"	"None"	"0.88"	"0.86"	"1"	"MOL"	"-1"	"20"	"7"	"3"	"0"	"322.0123"	"NEUTRAL"	"C11H14Cl2N2O9S"	"O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl.O=S(=O)(O)O"
"CHEMBL438554"	""	""	"Small molecule"	"0"	"1216.09"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1214.3443"	"None"	"C62H60Cl2N6O16"	"COC(=O)[C@@H]1NC(=O)C2NC(=O)C(NC(=O)C(N)c3cc(Oc4ccc(CC(NC(=O)OCc5ccccc5)C(=O)O)cc4Cl)c(O)c(c3)Oc3ccc(cc3Cl)C2O)c2ccc(O)c(c2)-c2c1cc(O)c(CNC1C3CC4CC(C3)CC1C4)c2O"
"CHEMBL2109089"	"ENDOMYCIN"	"ENDOMYCIN"	"Unknown"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL407612"	""	""	"Small molecule"	"0"	"1240.49"	"9"	"11"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1239.2312"	"None"	"C53H53N13O11S6"	"CNC(=O)C[C@@H]1NC(=O)c2csc(n2)-c2ccc(-c3nc(COC(=O)NCCCC(=O)O)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)[C@H](C(C)C)NC(=O)c2nc1sc2C"
"CHEMBL469912"	"PUROMYCIN"	"3123L|CL 13,900|GNF-Pf-2016|P-638|PUROMYCIN|TCMDC-123493"	"Small molecule"	"0"	"471.52"	"167"	"472"	"-0.79"	"160.88"	"11"	"4"	"1"	"8"	"N"	"0.33"	"12.35"	"8.03"	"-0.30"	"-1.02"	"3"	"MOL"	"0"	"34"	"12"	"5"	"1"	"471.2230"	"NEUTRAL"	"C22H29N7O5"	"COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@@H](n3cnc4c(N(C)C)ncnc43)[C@@H]2O)cc1"
"CHEMBL301428"	""	""	"Small molecule"	"0"	"878.16"	"3"	"3"	"3.92"	"185.01"	"15"	"5"	"2"	"8"	"N"	"0.24"	"11.79"	"9.57"	"4.34"	"0.66"	"2"	"MOL"	"-1"	"62"	"15"	"5"	"2"	"877.5664"	"BASE"	"C47H79N3O12"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@](O)(c3cc4ccccc4n3C)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL412977"	""	""	"Small molecule"	"0"	"1880.90"	"6"	"7"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"None"	"MOL"	"-1"	"None"	"None"	"None"	"None"	"1878.7027"	"None"	"C97H108Cl2N12O23"	"CCCCOc1ccc(CNC2C(Oc3c4cc5cc3Oc3ccc(cc3Cl)C(O)C3NC(=O)C(NC(=O)C5NC(=O)C5NC(=O)C(Cc6ccc(cc6)O4)NC(=O)C(N(C)Cc4ccc(OCCCC)cc4)c4ccc(O)c(c4)Oc4cc(O)c(Cl)c5c4)c4ccc(O)c(c4)-c4c(O)cc(O)cc4[C@H](C(=O)NCCCN(C)C)NC3=O)OC(C(=O)NCCCN(C)C)C(O)C2O)cc1"
